latitude,longitude,soil_moisture
73.69126,100.64315,0.14758112
73.69126,101.016594,0.15108615
73.69126,101.390045,0.17893928
73.69126,101.76349,0.16634683
73.69126,102.13693,0.1975024
73.69126,102.510376,0.20771411
73.69126,102.88382,0.19973424
73.69126,103.25726,0.19225736
73.69126,103.63071,0.17243314
73.69126,104.00415,0.17935726
73.69126,104.377594,0.17480409
73.69126,104.75104,0.19532557
73.69126,105.12448,0.16679579
73.69126,105.497925,0.15345657
73.69126,105.87137,0.173264
73.69126,106.24481,0.20751159
73.69126,106.618256,0.22600943
73.69126,106.9917,0.22307807
73.69126,107.73859,0.15355764
73.69126,108.11203,0.069700554
73.69126,109.979256,0.6843407
73.69126,110.3527,0.23060942
73.69126,110.72614,0.3654018
73.69126,111.09959,0.45702448
73.69126,111.47303,0.4810567
73.69126,111.84647,0.38800886
73.69126,112.21992,0.23518775
73.69126,112.59336,0.10648548
73.69126,112.966805,0.5525821
73.69126,115.58091,0.5400857
73.69126,124.54357,0.6000517
73.69126,140.9751,0.670977
73.69126,141.34854,0.33415258
73.69126,141.72198,0.35557497
73.69126,142.09543,0.42589387
73.69126,142.46887,0.49272493
73.69126,142.84233,0.52255833
72.725525,-124.917015,0.40211552
72.725525,-124.54357,0.16002174
72.725525,-124.17013,0.28297666
72.725525,-123.796684,0.2695097
72.725525,-123.42323,0.26764026
72.725525,-123.04979,0.26146713
72.725525,-122.676346,0.25838348
72.725525,-122.3029,0.30298096
72.725525,-121.92946,0.3015728
72.725525,-121.556015,0.29468253
72.725525,-121.18257,0.3241552
72.725525,-120.80913,0.3361185
72.725525,-120.435684,0.3195952
72.725525,-120.06224,0.30678377
72.725525,-119.6888,0.2473621
72.725525,-118.19502,0.61830693
72.725525,-117.82158,0.24683206
72.725525,-117.448135,0.2659814
72.725525,-117.07469,0.26092026
72.725525,-116.70125,0.26382706
72.725525,-116.327805,0.26582503
72.725525,-115.95435,0.2774204
72.725525,-115.58091,0.26422986
72.725525,-115.207466,0.24983288
72.725525,-114.83402,0.25098222
72.725525,-114.46058,0.17631927
72.725525,-114.087135,0.15671778
72.725525,-113.34025,0.38556284
72.725525,-112.966805,0.30607468
72.725525,-112.59336,0.2736122
72.725525,-112.21992,0.22381794
72.725525,-111.84647,0.31393576
72.725525,-109.979256,0.4191611
72.725525,-109.60581,0.4030205
